MTHSIG28	newentity entity javatype type createabstract create javatype type superclass list annotationmetadatabuilder annotation metadata builder annotations
VARIABLES	key ormprovider orm provider jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit modulename module document document jdbcdatabase jdbc database hostname host databasename database modulename module databases xpathexpression path expression configuration modulename module dependencyelement dependency element xpathexpression path expression configuration filterelement filter element xpathexpression path expression configuration pluginelement plugin element modulename module propertyelement property element propertiesfile properties file ormproviders orm providers xpathexpression path expression configuration resourceelement resource element jdbcdatabase jdbc database database ormprovider orm provider modulename module addgaesettingstoplugin add gae settings plugin document addgaesettingstoplugin add gae settings plugin document ormprovider orm provider jdbcdatabase jdbc database applicationid application modulename module serializable createabstract create superclass annotations identifiertype identifier type identifierfield identifier field identifiercolumn identifier column path exists templatefilename template filename ormprovider orm provider jdbcdatabase jdbc database jndi transactionmanager transaction manager persistenceunit persistence unit configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module pluginelement plugin element pluginelement plugin element ormprovider orm provider jdbcdatabase jdbc database hostname host username user password persistenceunit persistence unit modulename module ormprovider orm provider jdbcdatabase jdbc database hostname host databasename database username user password modulename module addtoplugin add plugin configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module dependencyelement dependency element dependencyelement dependency element dependencyelement dependency element dependencyelement dependency element addgaesettingstoplugin add gae settings plugin configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module filter filterelement filter element filterelement filter element filter ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit modulename module configuration ormprovider orm provider jdbcdatabase jdbc database modulename module pluginrepositoryelement plugin repository element pluginrepositoryelement plugin repository element configuration ormprovider orm provider jdbcdatabase jdbc database modulename module property property configuration ormprovider orm provider jdbcdatabase jdbc database modulename module repositoryelement repository element repositoryelement repository element repositoryelement repository element configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module resource resourceelement resource element resourceelement resource element resource path exists props serialversionuid serial version uid application context xml database driver database password database properties file database url database username persistence unit gae persistence unit jpa dialects file jstl impl dependency logger persistence unit persistence xml pom xml filemanager file manager pathresolver path resolver projectoperations project operations propfileoperations prop file operations typelocationservice type location service typemanagementservice type management service configuration databasexpath database path providersxpath providers path property property connectionstring connection dbdelimiter delimiter builder dependencies dependency filters buildplugins build plugins persistencexmlpath persistence xml path document root propertyelements property elements properties key path tmpdir tmp dir builder resources unwanteddatabases unwanted databases unwantedormproviders unwanted orm providers resourcespath resources path root additionalbuildcommandselement additional buildcommands element gaebuildcommandname gae build command gaebuildcommandelement gae build command element nameelement element root additionalprojectnatureselement additional projectnatures element gaeprojectnaturename gae projectnature gaeprojectnatureelement gae projectnature element appenginepath appengine path appenginepathexists appengine path exists loggingpropertiespath logging properties path loggingpropertiespathexists logging properties path exists inputstream input stream appengine root applicationelement application element textcontent text content templateinputstream template input stream outputstream output stream declaredbymetadataid declared metadata annotations modifier cidbuilder cid builder modifier declaredbymetadataid declared metadata cidbuilder cid builder superclassclassorinterfacetypedetails superclass type details declaredbymetadataid declared metadata identifierannotations identifier annotations cidbuilder cid builder props inputstream input stream contextpath context path appctx app ctx root datasource data source datasourcejndi data source jndi validationqueryelement validation query element validationquery validation query transactionmanagerelement transaction manager element aspectjtxmanager aspect manager entitymanagerfactory entity manager factory requiredplugins required plugins databaseplugins database plugins ormplugins orm plugins redundantplugins redundant plugins configpath config path configexists config exists connectionstring connection props haschanged changed databasepath database path databaseexists database exists jndipath jndi path props connectionstring connection driver url uname pwd haschanged changed pom document root configurationelement configuration element descriptionofchange description change mappingexcludeselement mapping excludes element requireddependencies required dependencies databasedependencies database dependencies ormdependencies orm dependencies jpadependencies jpa dependencies springdependencies spring dependencies redundantdependencies redundant dependencies pom document changesmessage message redundantfilters redundant filters filters databasefilters database filters ormfilters orm filters databasepath database path jndipath jndi path props log jpath log path log jmutablefile log mutable file props outputstream output stream dnkey key persistencepath persistence path inputstream input stream persistence root persistenceelement persistence element persistenceunitelement persistence unit element provider dialects properties isdbreproject dbre project isdbreprojectordb dbre project dialectkey dialect key connectionstring connection pluginrepositories plugin repositories databasepluginrepositories database plugin repositories ormpluginrepositories orm plugin repositories databaseproperties database properties providerproperties provider properties repositories databaserepositories database repositories ormrepositories orm repositories jparepositories jpa repositories redundantresources redundant resources resources databaseresources database resources ormresources orm resources outputstream output stream mutablefile mutable file
VARSIG85	username user
VARSIG84	hostname host
VARSIG83	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG82	ormprovider orm provider ormprovider orm provider
VARSIG39	element configuration
VARSIG34	modulename module
VARSIG33	element pluginelement plugin element
VARSIG160	ioexception exception
VARSIG32	element configuration
VARSIG31	xpathexpression path expression
VARSIG38	xpathexpression path expression
VARSIG37	list ormprovider orm provider ormproviders orm providers
PACKAGE	springframework roo addon jpa
VARSIG36	propertiesfile properties file
VARSIG35	element propertyelement property element
VARSIG30	element filterelement filter element
VARSIG29	element configuration
VARSIG28	xpathexpression path expression
VARSIG23	list jdbcdatabase jdbc database databases
VARSIG22	modulename module
VARSIG21	databasename database
VARSIG150	databasexpath database path
VARSIG20	hostname host
VARSIG151	providersxpath providers path
VARSIG27	element dependencyelement dependency element
VARSIG152	modulename module
VARSIG26	modulename module
VARSIG153	resource resource
VARSIG25	element configuration
VARSIG154	element resourceelement resource element
VARSIG24	xpathexpression path expression
VARSIG155	element resourceelement resource element
VARSIG156	resource resource
VARSIG157	path
VARSIG158	exists
VARSIG159	properties props
VARSIG56	javatype type
VARSIG55	ioexception exception
VARSIG54	modulename module
VARSIG53	applicationid application
VARSIG59	createabstract create
VARSIG58	javatype type
VARSIG57	serializable
VARSIG52	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG51	ormprovider orm provider ormprovider orm provider
VARSIG50	collection
VARSIG45	addgaesettingstoplugin add gae settings plugin
VARSIG44	modulename module
VARSIG43	ormprovider orm provider ormprovider orm provider
VARSIG42	jdbcdatabase jdbc database database
VARSIG49	document document
VARSIG48	addgaesettingstoplugin add gae settings plugin
VARSIG47	collection
VARSIG46	document document
VARSIG41	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG40	element resourceelement resource element
VARSIG120	ormprovider orm provider ormprovider orm provider
VARSIG121	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG122	hostname host
VARSIG123	databasename database
VARSIG124	username user
VARSIG125	password
VARSIG126	persistenceunit persistence unit
VARSIG127	modulename module
VARSIG128	element configuration
VARSIG129	ormprovider orm provider ormprovider orm provider
VARSIG110	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG111	databasexpath database path
VARSIG112	providersxpath providers path
VARSIG113	modulename module
VARSIG114	filter filter
VARSIG115	element filterelement filter element
VARSIG116	element filterelement filter element
VARSIG117	filter filter
VARSIG118	ormprovider orm provider ormprovider orm provider
VARSIG119	ioexception exception
COMMENTS	implementation link jpaoperations jpa operations parse configuration xml file xpath path expressions unwanted databases orm providers oracle connection url roo required properties ignore elements unit testing path nullotherwise checking existence configurations abort identify required plugins identify redundant plugins don remove required update pom databasename database existing database configuration exit write database properties file log message console manage mappingexcludes mapping excludes updates pom dependencies required database orm provider removing persistence dependencies configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path hard coded jpa hibernate validator remove redundant dependencies don remove update pom remove redundant filters add required filters there existing persistence config file read addon addon template file add provider element add properties roo roo roo connection properties file add plugin repositories pom xml add repositories pom xml remove redundant resources add required resources
VARSIG19	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG18	document document
VARSIG17	
VARSIG12	modulename module
VARSIG11	persistenceunit persistence unit
VARSIG10	transactionmanager transaction manager
VARSIG140	element configuration
VARSIG16	
VARSIG141	ormprovider orm provider ormprovider orm provider
VARSIG15	document document
VARSIG142	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG14	
VARSIG143	modulename module
VARSIG13	
VARSIG144	element repositoryelement repository element
VARSIG145	element repositoryelement repository element
VARSIG146	element repositoryelement repository element
VARSIG147	element configuration
VARSIG148	ormprovider orm provider ormprovider orm provider
VARSIG149	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG130	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG131	modulename module
VARSIG132	element pluginrepositoryelement plugin repository element
VARSIG133	element pluginrepositoryelement plugin repository element
VARSIG134	element configuration
VARSIG135	ormprovider orm provider ormprovider orm provider
VARSIG136	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG137	modulename module
VARSIG138	element property
VARSIG139	element property
CLASSES	jpaoperationsimpl jpa operations impl
VARSIG7	databasename database
VARSIG109	ormprovider orm provider ormprovider orm provider
VARSIG6	hostname host
VARSIG9	password
VARSIG8	username user
MTHSIG46	writeproperties write properties path exists properties props
VARSIG3	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG2	ormprovider orm provider ormprovider orm provider
MTHSIG44	updaterepositories update repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database modulename module
VARSIG5	applicationid application
MTHSIG45	updateresources update resources element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
VARSIG4	jndi
VARSIG1	object
VARSIG0	object key
VARSIG100	databasexpath database path
MTHSIG42	updatepluginrepositories update plugin repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database modulename module
VARSIG101	providersxpath providers path
MTHSIG43	updatepomproperties update pom properties element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database modulename module
VARSIG102	modulename module
MTHSIG40	updatelog update log ormprovider orm provider ormprovider orm provider
VARSIG103	element dependencyelement dependency element
MTHSIG41	updatepersistencexml update persistence xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit modulename module
VARSIG104	element dependencyelement dependency element
VARSIG105	element dependencyelement dependency element
VARSIG106	element dependencyelement dependency element
VARSIG107	addgaesettingstoplugin add gae settings plugin
VARSIG108	element configuration
