MTHSIG28	login
VARIABLES	product uaaservice uaa service credentials requestfactory request factory type successful type appname app servicename service appname app framework memory warfile war file uris servicenames service names appname app framework memory uris servicenames service names appname app framework memory uris servicenames service names checkexists check exists service appname app service appname app methodname appname app appname app appname app appname app framework appname app instanceindex instance filepath file path appname app instanceindex instance filepath file path requestcallback request callback responsehandler response handler service methodname resultcode result code methodname resultcode result code appname app email password featurename feature jsonpayload json payload ignore appname app newname appname app input appname app appname app appname app servicename service appname app instances appname app memory appname app services appname app uris appname app warfile war file appname app warfile war file callback appname app warfilepath war file path cloud foundry url cloud major version cloud minor version cloud patch version product http success code discoveredappnames discovered app names methodtoresponses responses product uaaservice uaa service resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code cctype type cloudhost cloud host ccurlhashed url hashed ccjson json resultcounts result counts methodcallinfo call info resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code countsofar count resultcode result code jsonasstring json featuretoregister feature register resultcode result code resultcode result code sha sha digest resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code resultcode result code
VARSIG85	appcloudexception app cloud exception
VARSIG84	appname app
VARSIG83	appcloudexception app cloud exception
VARSIG82	newname
VARSIG39	methodname
VARSIG34	appname app
VARSIG33	appcloudexception app cloud exception
VARSIG32	appcloudexception app cloud exception
VARSIG31	appcloudexception app cloud exception
VARSIG38	appname app
VARSIG37	appcloudexception app cloud exception
PACKAGE	springframework roo addon cloud foundry
VARSIG36	service
VARSIG35	appcloudexception app cloud exception
VARSIG30	cloudservice cloud service service
CLASSES	uaaawareappcloudclient uaa aware app cloud client
VARSIG29	appcloudexception app cloud exception
VARSIG28	checkexists check exists
VARSIG23	appname app
VARSIG22	appcloudexception app cloud exception
VARSIG21	list servicenames service names
VARSIG20	list uris
VARSIG27	list servicenames service names
VARSIG26	list uris
VARSIG25	memory
VARSIG24	framework
VARSIG7	appname app
VARSIG109	appname app
VARSIG6	transmissiontype transmission type type
VARSIG9	appcloudexception app cloud exception
VARSIG8	servicename service
MTHSIG46	uploadapplication upload application appname app file warfile war file uploadstatuscallback upload status callback callback
VARSIG3	clienthttprequestfactory client http request factory requestfactory request factory
MTHSIG47	uploadapplication upload application appname app warfilepath war file path
VARSIG2	cloudcredentials cloud credentials credentials
MTHSIG44	updateapplicationuris update application uris appname app list uris
VARSIG5	successful
MTHSIG45	uploadapplication upload application appname app file warfile war file
VARSIG4	transmissiontype transmission type type
VARSIG1	uaaservice uaa service uaaservice uaa service
VARSIG0	product product
VARSIG56	filepath file path
VARSIG55	instanceindex instance
VARSIG54	appname app
VARSIG53	appcloudexception app cloud exception
VARSIG59	instanceindex instance
VARSIG58	appname app
VARSIG57	appcloudexception app cloud exception
VARSIG100	appname app
MTHSIG42	updateapplicationmemory update application memory appname app memory
VARSIG101	memory
MTHSIG43	updateapplicationservices update application services appname app list services
VARSIG102	appcloudexception app cloud exception
MTHSIG40	unregister
VARSIG103	appname app
MTHSIG41	updateapplicationinstances update application instances appname app instances
VARSIG104	list services
VARSIG52	framework
VARSIG105	appcloudexception app cloud exception
VARSIG51	appcloudexception app cloud exception
VARSIG106	appname app
VARSIG50	appname app
VARSIG107	list uris
VARSIG108	appcloudexception app cloud exception
VARSIG45	appcloudexception app cloud exception
VARSIG44	appcloudexception app cloud exception
VARSIG43	appcloudexception app cloud exception
VARSIG42	appname app
VARSIG49	appcloudexception app cloud exception
VARSIG48	appcloudexception app cloud exception
VARSIG47	appcloudexception app cloud exception
VARSIG46	appname app
VARSIG41	appcloudexception app cloud exception
VARSIG40	appname app
