MTHSIG28	iscompatible compatible version
VARSIG51	maxresults max
VARSIG50	linkedlist linked list bundle bundles
VARSIG45	communityonly community
VARSIG44	compatibleonly compatible
VARSIG43	trustedonly trusted
VARSIG42	list bundle bundles
VARSIG49	cmd
VARSIG48	bundle bundle
VARSIG47	onlyrelevantbundles relevant bundles
VARSIG46	requirescommand requires command
VARSIG41	refresh
VARSIG40	backingstoreexception backing store exception ignore
