MTHSIG28	getproviderxpath provider path ormprovider orm provider provider
VARSIG96	ormprovider orm provider ormprovider orm provider
VARSIG95	element configuration
VARSIG94	mutablefile mutable file mutablefile mutable file
VARSIG93	document pom
MTHSIG17	updaterepositories update repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG18	updatepluginrepositories update plugin repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG15	updatedependencies update dependencies element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG16	getprojectname project
MTHSIG13	updatelog update log ormprovider orm provider ormprovider orm provider
MTHSIG14	updatepomproperties update pom properties element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG11	updatedatabaseproperties update database properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password
MTHSIG12	updatevmforceconfigproperties update mforce config properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database username user password
MTHSIG19	updatefilters update filters element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG89	plugin buildplugin build plugin
VARSIG88	element pluginelement plugin element
VARSIG87	element pluginelement plugin element
VARSIG86	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG81	element resourceelement resource element
MTHSIG10	updategaexml update gae xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database applicationid application
VARSIG80	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARIABLES	ormprovider orm provider jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password persistenceunit persistence unit ormprovider orm provider jdbcdatabase jdbc database jndi persistenceunit persistence unit ormprovider orm provider jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit jdbcdatabase jdbc database hostname host databasename database ormprovider orm provider jdbcdatabase jdbc database applicationid application ormprovider orm provider jdbcdatabase jdbc database hostname host databasename database username user password ormprovider orm provider jdbcdatabase jdbc database username user password ioe ormprovider orm provider ioe configuration ormprovider orm provider jdbcdatabase jdbc database property property configuration ormprovider orm provider jdbcdatabase jdbc database dependencyelement dependency element dependencyelement dependency element dependencyelement dependency element dependencyelement dependency element configuration ormprovider orm provider jdbcdatabase jdbc database repositoryelement repository element repositoryelement repository element repositoryelement repository element configuration ormprovider orm provider jdbcdatabase jdbc database pluginrepositoryelement plugin repository element pluginrepositoryelement plugin repository element configuration ormprovider orm provider jdbcdatabase jdbc database filterelement filter element filterelement filter element filter configuration ormprovider orm provider jdbcdatabase jdbc database resourceelement resource element resourceelement resource element resource configuration ormprovider orm provider jdbcdatabase jdbc database pluginelement plugin element pluginelement plugin element buildplugin build plugin addbuildcommand add build command addbuildcommand add build command pom mutablefile mutable file configuration ormprovider orm provider jdbcdatabase jdbc database database provider xpathexpression path expression root configuration candidate dependencyelement dependency element candidate filterelement filter element candidate pluginelement plugin element jdbcdatabase jdbc database databases provider ormproviders orm providers doc doc propertyelement property element database url database driver database username database password persistence unit gae persistence unit persistence unit filemanager file manager metadataservice metadata service projectoperations project operations propfileoperations prop file operations configuration contextpath context path contextmutablefile context mutable file appctx app ctx root datasource data source datasourcejndi data source jndi validationqueryelement validation query element testonborrowelement test borrow element transactionmanager transaction manager qualifier aspectjtxmanager aspect manager entitymanagerfactory entity manager factory persistencepath persistence path persistence persistencemutablefile persistence mutable file templateinputstream template input stream dialects dialectsinputstream dialects input stream root persistenceelement persistence element persistenceunitelement persistence unit element provider properties hbm dll hbm dll connectionstring connection projectmetadata project metadata connectionstring connection projectmetadata project metadata dbdelimiter delimiter pathresolver path resolver appenginepath appengine path appenginepathexists appengine path exists loggingpropertiespath logging properties path loggingpropertiespathexists logging properties path exists appenginemutablefile appengine mutable file appengine templateinputstream template input stream rootelement root element applicationelement application element templateinputstream template input stream databasepath database path databaseexists database exists databasemutablefile database mutable file props templateinputstream template input stream connectionstring connection haschanged changed outputstream output stream configpath config path configexists config exists configmutablefile config mutable file props templateinputstream template input stream outputstream output stream log jpath log path log jmutablefile log mutable file props dnkey key outputstream output stream outputstream output stream databaseproperties database properties providerproperties provider properties dependencies databasedependencies database dependencies ormdependencies orm dependencies jpadependencies jpa dependencies springdependencies spring dependencies repositories databaserepositories database repositories ormrepositories orm repositories jparepositories jpa repositories pluginrepositories plugin repositories databasepluginrepositories database plugin repositories ormpluginrepositories orm plugin repositories filters databasefilters database filters ormfilters orm filters resources databaseresources database resources ormresources orm resources buildplugins build plugins databaseplugins database plugins ormplugins orm plugins pompath pom path mutablefile mutable file pom root gaebuildcommandname gae build command additionalbuildcommandselement additional buildcommands element buildcommandelement build command element nameelement element pompath pom path mutablefile mutable file pom root databases haschanged changed ormproviders orm providers haschanged changed dependencieselement dependencies element filterselement filters element pluginselement plugins element builder builder property property persistencexmlpath persistence xml path filedetails file details document builder propertyelements property elements properties key
VARSIG85	ormprovider orm provider ormprovider orm provider
VARSIG84	element configuration
VARSIG83	resource resource
VARSIG82	element resourceelement resource element
VARSIG39	ioexception exception
VARSIG34	databasename database
VARSIG33	hostname host
VARSIG32	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG31	ormprovider orm provider ormprovider orm provider
VARSIG38	ioexception exception
VARSIG37	ioexception exception
PACKAGE	springframework roo addon jpa
VARSIG36	password
VARSIG35	username user
VARSIG30	ioexception exception
CLASSES	jpaoperationsimpl jpa operations impl
VARSIG29	exception
VARSIG28	applicationid application
VARSIG23	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG22	exception
VARSIG21	exception
VARSIG20	persistenceunit persistence unit
VARSIG27	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG26	ormprovider orm provider ormprovider orm provider
VARSIG25	databasename database
VARSIG24	hostname host
VARSIG7	password
VARSIG109	element pluginelement plugin element
VARSIG6	username user
VARSIG9	ormprovider orm provider ormprovider orm provider
VARSIG8	persistenceunit persistence unit
VARSIG3	applicationid application
VARSIG2	jndi
VARSIG5	databasename database
VARSIG4	hostname host
VARSIG1	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG0	ormprovider orm provider ormprovider orm provider
VARSIG56	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG55	ormprovider orm provider ormprovider orm provider
VARSIG54	element configuration
VARSIG53	element property
VARSIG59	element dependencyelement dependency element
VARSIG58	element dependencyelement dependency element
VARSIG57	element dependencyelement dependency element
VARSIG100	ormprovider orm provider provider
VARSIG101	xpathexpression path expression
VARSIG102	element root
VARSIG103	element configuration
VARSIG104	element candidate
VARSIG52	element property
VARSIG105	element dependencyelement dependency element
VARSIG51	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG106	element candidate
VARSIG50	ormprovider orm provider ormprovider orm provider
VARSIG107	element filterelement filter element
VARSIG108	element candidate
VARSIG45	ioexception exception
VARSIG44	ioexception exception ioe
VARSIG43	password
VARSIG42	username user
VARSIG49	element configuration
VARSIG48	ioexception exception ioe
VARSIG47	ormprovider orm provider ormprovider orm provider
VARSIG46	ioexception exception
VARSIG41	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG40	ormprovider orm provider ormprovider orm provider
