MTHSIG28	getentitymanagermethod entiti manag 
VARSIG23	path path 
VARSIG22	javatyp type javatyp type 
VARSIG21	list annotationmetadatabuild annot metadata builder annot 
VARSIG20	javasymbolnam symbol 
VARSIG26	metadataidentificationstr metadata identif 
VARSIG25	metadataidentificationstr metadata identif 
VARSIG24	metadataidentificationstr metadata identif 
MTHSIG31	getfindmethod find 
MTHSIG32	getfindentriesmethod find entri 
MTHSIG30	getfindallmethod find 
VARSIG7	plural 
VARSIG6	noargconstructor arg constructor 
VARSIG9	list identifi identifierserviceresult identifi servic result 
VARSIG8	memberdetail member detail memberdetail member detail 
VARSIG3	entitymetadata entiti metadata parent 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	entityannotationvalu entiti annot valu annotationvalu annot valu 
VARSIG4	projectmetadata project metadata projectmetadata project metadata 
COMMENTS	metadata link rooentiti roo entiti process identifi servic result add entiti mappedsuperclass map superclass annot add tabl annot requir add inherit annot requir add discriminatorcolumn discrimin column requir determin entitymanag entiti manag field access guarante access arg constructor provid add identifi field accessor add version field accessor add helper method add method creat represent desir output potenti identifi identifierservic identifi servic identifi user provid identifi attribut rooentiti roo entiti theoret requir base discriminatorcolumn discrimin column javadoc doc hibern appear fail miss locat entiti manag field parent defin provid field gener expect field name entitymanag entiti manag type javax persist entitymanag entiti manag requir annot persistencecontext persist context exist field doesn meet requir add underscor prefix entitymanag entiti manag time uniqu meet requir creat entiti manag field return parent requir guarante locat ourself comput requir field verifi candid suitabl candid simpli field subclass inherit field subsequ subclass won candid isn entitymanag entiti manag candid doesn persistencecontext persist context annot valid candid candid let creat locat arg constructor defin arg constructor return irrespect access modifi defin arg constructor creat creat link noargconstructor arg constructor constructor declar sourc file constructor creat access modifi constructor constructor produc comput mutat paramet search exist constructor exist arg constructor user defin arg constructor metadata instanc prohibit make arg constructor constructor appli quit creat constructor locat identifi field parent defin provid field parent defin locat creat declar inherit field link javax persist link javax persist embeddedid embed embeddedid embed annot identifi return field locat field creat detail contain link rooentiti roo entiti identifi return locat exist field javax persist locat exist field javax persist embeddedid embed ensur isn field call comput uniqu fatal situat dai comput requir field usabl field creat comput column requir roo generatedvalu gener strategi generationtyp gener type tabl root governor declar inherit strategi inheritancetyp inherit type tabl user altern column add length attribut field add precis scale attribut numer field forc forc locat identifi accessor link getidentifierfield identifi field return field creat field declar entiti accessor automat produc declar accessor return locat identifi field comput accessor produc user field locat exist accessor exist requir accessor uniqu declar field produc accessor locat identifi mutat link getidentifierfield identifi field return field creat field declar entiti mutat automat produc declar mutat return todo temporari workaround support web data bind approach review locat identifi field comput accessor produc user field locat exist mutat exist requir mutat uniqu declar field produc mutat locat version field parent defin provid field parent defin locat creat declar inherit field annot javax persist version version return field locat field creat detail contain link rooentiti roo entiti version locat exist field version quit stage user doesn version field ensur isn field call version comput uniqu fatal situat dai comput requir field usabl field creat locat version accessor link getversionfield version field return field creat version field declar entiti accessor automat produc declar version accessor version field declar there version field won accessor parent parent respons provid accessor comput accessor produc user field locat exist accessor exist requir accessor uniqu declar field produc accessor locat version mutat link getversionfield version field return field creat version field declar entiti mutat automat produc declar mutat version field declar todo temporari workaround support web data bind approach review locat version field comput mutat produc there version field won mutat user field locat exist mutat exist requir mutat uniqu declar field produc mutat persist remov flush return clear return merg return definit find build locat user defin creat address inject entiti manag field getentitymanag entiti manag acquir entiti manag except acquir persist util entitymanag entiti manag method entiti manag util user code return null parent requir guarante definit find build locat user defin creat creat anonym arg constructor jpa entiti handl method instanti argument constructor entiti compli jpa arg constructor requir count definit find build locat user defin creat find definit find build locat user defin creat find definit find build locat user defin creat spring except thrown jpaexceptiontranslatoraspect jpa except translat aspect origin jpa except aspect doesn trigger find entri definit find build locat user defin creat dynam custom finder return empti list pluralis return empti entitynam entiti dynamicfinderservic dynam finder servic gener jpa queri entitynam entiti entitynam entiti attribut 
VARSIG19	methodmetadata metadata 
VARSIG1	javatyp type aspectnam aspect 
VARSIG18	list annotationmetadatabuild annot metadata builder annot 
VARSIG0	identifi 
VARSIG17	ispersistmethod persist 
VARSIG12	list fieldmetadata field metadata identifierfield identifi field 
VARSIG11	javatyp type annotationtyp annot type 
VARSIG10	list identifi identifierserviceresult identifi servic result 
VARSIG16	list annotationmetadatabuild annot metadata builder annot 
VARSIG15	methoddelegatenam deleg 
VARSIG14	javasymbolnam symbol methodnam 
VARSIG13	javatyp type identifiertyp identifi type 
MTHSIG42	isvalid valid metadataidentificationstr metadata identif 
MTHSIG40	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG41	getpath path metadataidentificationstr metadata identif 
MTHSIG17	getversionfield version field 
MTHSIG18	getversionaccessor version accessor 
MTHSIG15	getidentifieraccessor identifi accessor 
MTHSIG16	getidentifiermut identifi mutat 
MTHSIG13	getidentifiertyp identifi type 
MTHSIG14	getidentifiercolumn identifi column 
MTHSIG11	getidentifierfield identifi field list fieldmetadata field metadata identifierfield identifi field javatyp type identifiertyp identifi type 
MTHSIG12	getidentifierfieldnam identifi field 
MTHSIG19	getversionmut version mutat 
MTHSIG10	getidentifierfield identifi field 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata parent projectmetadata project metadata annotationvalu annot valu noargconstructor arg constructor plural memberdetail member detail identifierserviceresult identifi servic result identifierserviceresult identifi servic result annotationtyp annot type identifierfield identifi field identifiertyp identifi type methodnam methoddelegatenam deleg annot ispersistmethod persist annot annot javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif entiti manag type type embed entiti manag persist context column parent annotationvalu annot valu memberdetail member detail noargconstructor arg constructor plural identifi isgaeen gae enabl isdatanucleusen data nucleu enabl isvmforceen mforc enabl entityannot entiti annot entitybuild entiti builder annotationbuild annot builder tableannot tabl annot tabl schema catalog tablebuild tabl builder inheritancejavatyp inherit type inheritancebuild inherit builder fieldnam field fieldsymbolnam field symbol candid annot annotationbuild annot builder fieldbuild field builder paramtyp type result bodybuild bodi builder constructorbuild constructor builder idfield field idfield field embeddedidfield embed field identifierfield identifi field idfield field fieldnam field identifiertyp identifi type annot hasidclass annotationtyp annot type generationtyp gener type inherit enumattributevalu attribut detail generatedvaluebuild gener builder identifiercolumn identifi column columnnam column columnbuild column builder identifierfield identifi field identifiertyp identifi type identifiercolumn identifi column requiredaccessornam requir accessor bodybuild bodi builder requiredmutatornam requir mutat paramtyp type paramnam name bodybuild bodi builder methodbuild builder result versionfield version field versiontyp version type versioncolumn version column verfield ver field fieldnam field annot columnbuild column builder fieldbuild field builder version result requiredaccessornam requir accessor bodybuild bodi builder methodbuild builder version requiredmutatornam requir mutat paramtyp type paramnam name bodybuild bodi builder methodbuild builder paramtyp type usermethod user annot bodybuild bodi builder entitymanagermethod entiti manag entitymanagerfieldnam entiti manag field returntyp type methodbuild builder transactionalbuild transact builder methodnam paramtyp type returntyp type usermethod user bodybuild bodi builder param type type newmodifi modifi modifi methodbuild builder methodnam paramtyp type paramnam name returntyp type usermethod user annot entitynam entiti bodybuild bodi builder modifi methodbuild builder methodnam paramtyp type paramnam name typeparam type param returntyp type usermethod user annot entitynam entiti bodybuild bodi builder modifi methodbuild builder idfieldnam field methodnam paramtyp type paramnam name returntyp type usermethod user annot bodybuild bodi builder entitynam entiti modifi methodbuild builder methodnam paramtyp type paramnam name typeparam type param returntyp type usermethod user annot entitynam entiti bodybuild bodi builder modifi methodbuild builder attribut result tsc 
