VARSIG7	entitymanagerdeleg entiti manag deleg 
MTHSIG6	getversionmut version mutat 
VARSIG10	finder 
MTHSIG7	getentitymanagerfield entiti manag field 
MTHSIG0	entitymetadata entiti metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata entitymetadata entiti metadata parent noargconstructor arg constructor plural 
MTHSIG1	getidentifierfield identifi field 
VARSIG15	metadataidentificationstr metadata identif 
PACKAGE	springframework roo addon entiti 
MTHSIG2	getidentifieraccessor identifi accessor 
VARSIG14	metadataidentificationstr metadata identif 
MTHSIG3	getidentifiermut identifi mutat 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG20	getplur plural 
MTHSIG21	tostr 
MTHSIG8	getnoargconstructor arg constructor 
MTHSIG9	getpersistmethod persist 
MTHSIG17	getfindmethod find 
MTHSIG18	getfindentriesmethod find entri 
MTHSIG15	getcountmethod count 
MTHSIG16	getfindallmethod find 
MTHSIG13	getdelegatemethod deleg javasymbolnam symbol methodnam entitymanagerdeleg entiti manag deleg 
MTHSIG14	getentitymanagermethod entiti manag 
MTHSIG11	getflushmethod flush 
MTHSIG12	getmergemethod merg 
CLASSES	entitymetadata entiti metadata 
METHODS	entitymetadata entiti metadata getidentifierfield identifi field getidentifieraccessor identifi accessor getidentifiermut identifi mutat getversionfield version field getversionaccessor version accessor getversionmut version mutat getentitymanagerfield entiti manag field getnoargconstructor arg constructor getpersistmethod persist getremovemethod remov getflushmethod flush getmergemethod merg getdelegatemethod deleg getentitymanagermethod entiti manag getcountmethod count getfindallmethod find getfindmethod find getfindentriesmethod find entri getdynamicfind dynam finder getplur plural tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
MTHSIG19	getdynamicfind dynam finder 
MTHSIG10	getremovemethod remov 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata parent noargconstructor arg constructor plural methodnam entitymanagerdeleg entiti manag deleg finder javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif entiti manag type type entiti manag parent noargconstructor arg constructor plural identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column versiontyp version type versionfield version field persistmethod persist flushmethod flush mergemethod merg removemethod remov countmethod count findallmethod find findmethod find findentriesmethod find entri finder annot entitymanag entiti manag field idfield field fieldnam field annot idannot annot generatedvalueattribut gener attribut generatedvalueannot gener annot columnnam column columnattribut column attribut columnannot column annot field requiredaccessornam requir accessor bodybuild bodi builder requiredmutatornam requir mutat paramtyp type paramnam name bodybuild bodi builder result field versionfield version field fieldnam field annot idannot annot columnattribut column attribut columnannot column annot field version result requiredaccessornam requir accessor bodybuild bodi builder version requiredmutatornam requir mutat paramtyp type paramnam name bodybuild bodi builder fieldnam field fieldsymbolnam field symbol candid annot annot field paramtyp type result bodybuild bodi builder paramtyp type usermethod user paramnam name annot annot bodybuild bodi builder entitymanagermethod entiti manag methodnam paramtyp type returntyp type usermethod user bodybuild bodi builder param type type newmodifi modifi modifi methodnam paramtyp type paramnam name returntyp type usermethod user bodybuild bodi builder modifi methodnam paramtyp type paramnam name typeparam type param returntyp type usermethod user bodybuild bodi builder modifi methodnam paramtyp type paramnam name returntyp type usermethod user bodybuild bodi builder modifi methodnam paramtyp type paramnam name typeparam type param returntyp type usermethod user bodybuild bodi builder modifi result tsc 
