MTHSIG28	getsourcedirectori sourc directori 
MTHSIG13	getmodul modul 
MTHSIG14	getnam 
MTHSIG11	getgroupid group 
MTHSIG12	getmodulenam modul 
MTHSIG19	getphysicalpath physic path path path 
MTHSIG10	getfilt filter 
VARIABLES	groupid group artifactid artifact version packag depend parent modul pomproperti pom properti repositori pluginrepositori plugin repositori sourcedirectori sourc directori testsourcedirectori test sourc directori filter buildplugin build plugin resourc path modulenam modul path scope path path newdepend depend plugin depend path path properti depend depend depend repositori repositori plugin plugin repositori repositori depend depend plugin plugin plugin depend filter gav existingplugin exist plugin repositori properti repositori resourc packag buildplugin build plugin depend filter gav modulenam modul modul packag parent path pathloc path locat pluginrepositori plugin repositori pomproperti pom properti repositori resourc sourcedirectori sourc directori testsourcedirectori test sourc directori pathstocach path cach result result modulepath modul path result 
VARSIG39	plugin plugin 
VARSIG34	collect depend depend 
VARSIG33	depend depend 
VARSIG32	properti 
VARSIG31	 
VARSIG38	collect plugin plugin 
VARSIG37	repositori repositori 
PACKAGE	springframework roo project maven 
VARSIG36	collect repositori repositori 
VARSIG35	depend depend 
VARSIG30	properti 
CLASSES	pom 
VARSIG29	properti properti 
VARSIG28	path path 
VARSIG23	plugin plugin 
VARSIG22	depend newdepend depend 
VARSIG21	path path 
VARSIG20	collect path path 
VARSIG27	path path 
VARSIG26	depend 
VARSIG25	depend depend 
VARSIG24	plugin 
VARSIG7	collect properti pomproperti pom properti 
VARSIG6	collect modul modul 
VARSIG9	collect repositori repositori 
VARSIG8	 
MTHSIG46	tostr 
VARSIG3	packag 
VARSIG2	version 
MTHSIG44	isrepositoryregist repositori regist repositori repositori 
VARSIG5	parent parent 
MTHSIG45	isresourceregist resourc regist resourc resourc 
VARSIG4	collect depend depend 
VARSIG1	artifactid artifact 
VARSIG0	groupid group 
VARSIG54	resourc resourc 
VARSIG53	repositori repositori 
MTHSIG42	ispluginrepositoryregist plugin repositori regist repositori repositori 
MTHSIG43	ispropertyregist properti regist properti properti 
MTHSIG40	isfilterregist filter regist filter filter 
MTHSIG41	ispluginregist plugin regist gav gav 
VARSIG52	properti properti 
VARSIG51	repositori repositori 
VARSIG50	plugin existingplugin exist plugin 
VARSIG45	plugin plugin 
VARSIG44	collect plugin plugin 
VARSIG43	depend depend 
VARSIG42	collect depend depend 
VARSIG49	gav gav 
VARSIG48	filter filter 
VARSIG47	depend depend 
VARSIG46	plugin plugin 
VARSIG41	repositori repositori 
VARSIG40	collect repositori repositori 
