MTHSIG28	getgaefindmethodbody gae find body
COMMENTS	metadata link rooentity roo entity annotation process values annotation potential identifier identifierservice identifier service identifier user provide identifier attributes rooentity roo entity user identifier let identifierservice identifier service offered add entity mappedsuperclass mapped superclass annotation add table annotation required add inheritance annotation required add discriminatorcolumn discriminator column required determine entitymanager entity manager field access guaranteed accessible arg constructor provide add identifier field accessor add version field accessor add helper methods add methods create representation desired output theoretically required based discriminatorcolumn discriminator column javadocs docs hibernate appears fail missing locates entity manager field parent defined provide field generally expect field named entitymanager entity manager type javax persistence entitymanager entity manager require annotated persistencecontext persistence context existing field doesn meet requirements add underscore prefix entitymanager entity manager time unique meets requirements create entity manager field returns parent required guarantee locate ourself compute required field verify candidate suitable candidate simply field subclasses inherited field subsequent subclasses won candidate isn entitymanager entity manager candidate doesn persistencecontext persistence context annotation valid candidate candidate let create locates arg constructor defines arg constructor returned irrespective access modifiers define arg constructor created created link noargconstructor arg constructor constructor declared source file constructor created access modifier constructor constructor produced compute mutator parameters search existing constructor existing arg constructor user define arg constructor metadata instance prohibited making arg constructor constructor apply quit create constructor locates identifier field parent defined provide field parent defined located created declared inherited field link javax persistence link javax persistence embeddedid embedded embeddedid embedded annotation identifier returned field located field created details contained link rooentity roo entity identifier returns locate existing field javax persistence locate existing field javax persistence embeddedid embedded force ensure isn field called compute unique fatal situation day compute required field usable field create compute column required roo generatedvalue generated strategy generationtype generation type table root governor declares inheritance strategy inheritancetype inheritance type table user alternate column locates identifier accessor link getidentifierfield identifier field returns field created field declared entity accessor automatically produced declaring accessor returns locate identifier field compute accessor produced user field located existing accessor exists required accessor unique declared field produce accessor locates identifier mutator link getidentifierfield identifier field returns field created field declared entity mutator automatically produced declaring mutator returns todo temporary workaround support web data binding approaches reviewed locate identifier field compute accessor produced user field locate existing mutator exists required mutator unique declared field produce mutator locates version field parent defined provide field parent defined located created declared inherited field annotated javax persistence version version returned field located field created details contained link rooentity roo entity version locate existing field version quit stage user doesn version field ensure isn field called version compute unique fatal situation day compute required field usable field creating locates version accessor link getversionfield version field returns field created version field declared entity accessor automatically produced declaring version accessor version field declared there version field won accessor parent parent responsibility provide accessor compute accessor produced user field locate existing accessor exists required accessor unique declared field produce accessor locates version mutator link getversionfield version field returns field created version field declared entity mutator automatically produced declaring mutator version field declared todo temporary workaround support web data binding approaches reviewed locate version field compute mutator produced there version field won mutator user field locate existing mutator exists required mutator unique declared field produce mutator persist remove flush returns clear returns merge returns definition find build locate user defined create address injected entity manager field getentitymanager entity manager acquire entity manager exception acquired persist utility entitymanager entity manager methods entity manager utility user code returns nulls parent required guarantee definition find build locate user defined create create anonymous arg constructor jpa entity handle methods instantiate argument constructor entity comply jpa arg constructor requirement count definition find build locate user defined create find definition find build locate user defined create find definition find build locate user defined create find entries definition find build locate user defined create dynamic custom finders returns empty list pluralised returns empty
VARSIG19	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG1	javatype type aspectname aspect
VARSIG18	javasymbolname symbol
VARSIG0	identifier
VARSIG17	methodmetadata metadata
VARSIG12	javasymbolname symbol methodname
VARSIG11	javatype type identifiertype identifier type
VARSIG10	list fieldmetadata field metadata identifierfields identifier fields
VARSIG16	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG15	ispersistmethod persist
VARSIG14	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG13	entitymanagerdelegate entity manager delegate
MTHSIG17	getremovemethod remove
MTHSIG18	getflushmethod flush
MTHSIG15	getversionmutator version mutator
MTHSIG16	getpersistmethod persist
MTHSIG13	getversionfield version field
MTHSIG14	getversionaccessor version accessor
MTHSIG11	getidentifieraccessor identifier accessor
MTHSIG12	getidentifiermutator identifier mutator
MTHSIG19	getclearmethod clear
MTHSIG10	getidentifierfield identifier field list fieldmetadata field metadata identifierfields identifier fields javatype type identifiertype identifier type
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata parent noargconstructor arg constructor plural projectmetadata project metadata memberdetails member details identifierserviceresult identifier service result annotationtype annotation type identifierfields identifier fields identifiertype identifier type methodname entitymanagerdelegate entity manager delegate annotations ispersistmethod persist annotations annotations javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification entity manager type type embedded entity manager persistence context column query parent memberdetails member details noargconstructor arg constructor plural isgaeenabled gae enabled isdatanucleusenabled data nucleus enabled isvmforceenabled mforce enabled identifiertype identifier type identifierfield identifier field identifiercolumn identifier column versiontype version type versionfield version field versioncolumn version column persistmethod persist flushmethod flush clearmethod clear mergemethod merge removemethod remove countmethod count findallmethod find findmethod find findentriesmethod find entries finders persistenceunit persistence unit mappedsuperclass mapped superclass table schema catalog inheritancetype inheritance type annotation attributenames attribute names annotationbuilder annotation builder tabletype table type tablebuilder table builder inheritancejavatype inheritance type inheritancebuilder inheritance builder fieldname field fieldsymbolname field symbol candidate annotations annotationbuilder annotation builder fieldbuilder field builder paramtypes types result bodybuilder body builder constructorbuilder constructor builder idfields fields embeddedidfields embedded fields idfield field fieldname field annotations hasidclass annotationtype annotation type generatedvalueattributes generated attributes generationtype generation type inheritence enumattributevalue attribute details columnname column columnattributes column attributes fieldbuilder field builder requiredaccessorname required accessor bodybuilder body builder methodbuilder builder requiredmutatorname required mutator paramtypes types paramnames names bodybuilder body builder methodbuilder builder result field verfield ver field fieldname field annotations columnattributes column attributes fieldbuilder field builder version result requiredaccessorname required accessor bodybuilder body builder methodbuilder builder version requiredmutatorname required mutator paramtypes types paramnames names bodybuilder body builder methodbuilder builder paramtypes types usermethod user annotations bodybuilder body builder entitymanagermethod entity manager returntype type methodbuilder builder attributes methodname paramtypes types returntype type usermethod user bodybuilder body builder params types type newmodifier modifier modifier methodbuilder builder methodname paramtypes types paramnames names returntype type usermethod user annotations bodybuilder body builder modifier methodbuilder builder methodname paramtypes types paramnames names typeparams type params returntype type usermethod user annotations bodybuilder body builder modifier methodbuilder builder methodname paramtypes types paramnames names returntype type usermethod user annotations bodybuilder body builder modifier methodbuilder builder bodybuilder body builder methodname paramtypes types paramnames names typeparams type params returntype type usermethod user annotations bodybuilder body builder modifier methodbuilder builder attributes result tsc
