MTHSIG28	iscompat compat version 
MTHSIG15	upgradeset upgrad set addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
MTHSIG16	getaddoncach add cach refresh 
MTHSIG13	upgradeaddon upgrad add addonbundlesymbolicnam add bundl symbol bsn 
MTHSIG14	upgradeaddon upgrad add bundleid bundl 
MTHSIG11	upgradesavail upgrad addonstabilitylevel add stabil level addonstabilitylevel addon stabil level 
MTHSIG12	upgradeaddon upgrad add on 
MTHSIG19	istrustedkei trust kei list pgppublickeyr pgp kei ring keyid kei 
MTHSIG10	listaddon list add on refresh linesperresult line result maxresult max trustedonli trust compatibleonli compat communityonli commun requirescommand requir command 
VARIABLES	context bsn bundlekei bundl kei bundl bundlevers bundl version version command comment bsn bundlekei bundl kei bundlevers bundl version bsn bundlevers bundl version bsn instal bsn showfeedback feedback searchterm search term refresh linesperresult line result maxresult max trustedonli trust compatibleonli compat communityonli commun requirescommand requir command bundl term refresh linesperresult line result maxresult max trustedonli trust compatibleonli compat communityonli commun requirescommand requir command addonstabilitylevel addon stabil level existingbundlevers exist bundl version kei bsn bundleid bundl addonstabilitylevel add stabil level ignor refresh bundl trustedonli trust compatibleonli compat communityonli commun requirescommand requir command onlyrelevantbundl relev bundl bundl cmd bundl maxresult max linesperresult line result bundl keyid kei keyr kei ring startuptim startup time bundleel bundl element commentel comment element versionel version element shell ignor label content repourl repo url resourc asl bundl addonstabilitylevel add stabil level version search bundl logger roobot xml url shell pgpservic pgp servic urlinputstreamservic url input stream servic bundlecach bundl cach searchresultcach search result cach context dateformat format mutex pref noupgradebsnlist upgrad bsn list addon upgrad stabil level roobot bsnstring bsn bundl bundl command bsnstring bsn bundl bundl statu count requireswrappedcoredepend requir wrap core depend success success count onlyrelevantbundl relev bundl term hit latest bundl filteredsearchresult filter search bundl filteredlist filter list bundl bundl latest addonstabilitylevel addon stabil level bundl upgrad bundl bundlevers bundl version statu bsnstring bsn bundl bundlevers bundl version statu bundl bundlevers bundl version statu success filteredlist filter list latest matchingcommand match command bundleid bundl latest bundlekei bundl kei split lpr pgpkei pgp kei success dbf httpurl http url failuremessag failur messag zip bao buffer length bai roobotxml roobot xml bsn comment bundl signedbi sign pgpkei pgp kei pgpsign pgp sign command versionbuild version builder versionmicro version micro versionqualifi version qualifi roovers roo version split version msg currentlevel current level currentlevelbundl current level bundl anylevelbundl level bundl plussiz size bundl split dbf doc obrurl obr url zip bao buffer length bai bundl bundlecontext bundl context bundlevers bundl version roobotbundlevers roo bot bundl version ebv exisingbundlevers exis bundl version installorupgradestatu instal upgrad statu bundlecontext bundl context bsn 
VARSIG39	addonstabilitylevel add stabil level addonstabilitylevel add stabil level 
VARSIG34	addonstabilitylevel add stabil level addonstabilitylevel addon stabil level 
VARSIG33	requirescommand requir command 
VARSIG32	communityonli commun 
VARSIG31	compatibleonli compat 
VARSIG38	bundleid bundl 
VARSIG37	addonbundlesymbolicnam add bundl symbol bsn 
PACKAGE	springframework roo addon roobot client 
VARSIG36	kei 
VARSIG35	existingbundlevers exist bundl version 
VARSIG30	trustedonli trust 
CLASSES	addonroobotoperationsimpl add roo bot oper impl 
VARSIG29	maxresult max 
VARSIG28	linesperresult line result 
VARSIG23	communityonli commun 
VARSIG22	compatibleonli compat 
VARSIG21	trustedonli trust 
VARSIG20	maxresult max 
VARSIG27	refresh 
VARSIG26	term 
VARSIG25	bundl bundl 
VARSIG24	requirescommand requir command 
VARSIG7	comment comment 
VARSIG6	command 
VARSIG9	bundlekei bundl kei 
VARSIG8	addonbundlesymbolicnam add bundl symbol bsn 
VARSIG3	bundl bundl 
VARSIG2	bundlekei bundl kei 
VARSIG5	bundlevers bundl version version 
VARSIG4	bundlevers bundl version bundlevers bundl version 
VARSIG1	addonbundlesymbolicnam add bundl symbol bsn 
VARSIG0	componentcontext compon context context 
VARSIG56	pgppublickeyr pgp kei ring keyr kei ring 
VARSIG55	keyid kei 
VARSIG54	list pgppublickeyr pgp kei ring 
VARSIG53	bundl bundl 
VARSIG59	element commentel comment element 
VARSIG58	element bundleel bundl element 
VARSIG57	startuptim startup time 
VARSIG52	linesperresult line result 
VARSIG51	maxresult max 
VARSIG50	linkedlist link list bundl bundl 
VARSIG45	communityonli commun 
VARSIG44	compatibleonli compat 
VARSIG43	trustedonli trust 
VARSIG42	list bundl bundl 
VARSIG49	cmd 
VARSIG48	bundl bundl 
VARSIG47	onlyrelevantbundl relev bundl 
VARSIG46	requirescommand requir command 
VARSIG41	refresh 
VARSIG40	backingstoreexcept back store except ignor 
