MTHSIG28	getenclosingtypenam enclos type 
VARSIG19	physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG1	typedeclar type declar typedeclar type declar 
VARSIG18	metadataservic metadata servic metadataservic metadata servic 
VARSIG0	compilationunit compil unit compilationunit compil unit 
VARSIG17	javatyp type typenam type 
VARSIG12	bodydeclar bodi declar bodydeclar bodi declar 
VARSIG11	annotationexpr annot expr candid 
VARSIG55	fileidentifi file identifi 
VARSIG10	classorinterfacetyp type candid 
VARSIG54	classorinterfacetypedetail type detail cit 
VARSIG53	filemanag file manag filemanag file manag 
VARSIG16	declaredbymetadataid declar metadata 
VARSIG15	typecont type content 
VARSIG14	variabledeclar variabl declar 
VARSIG13	bodydeclar bodi declar member 
VARSIG52	javatyp type 
VARSIG51	compilationunitservic compil unit servic compilationunit compil unit 
VARSIG50	javatyp type current 
MTHSIG17	listmemb list member typedeclar type declar typedeclar type declar 
MTHSIG18	updateoutput updat output compilationunit compil unit compilationunit compil unit classorinterfacetypedetail type detail cit list bodydeclar bodi declar parent 
MTHSIG15	getregisteredimport regist import 
MTHSIG16	getannot annot 
MTHSIG13	getextendstyp type 
MTHSIG14	getimplementstyp type 
MTHSIG11	getdeclaredinnertyp declar type 
MTHSIG12	getdeclarediniti declar initi 
MTHSIG19	getcompilationunitcont compil unit content classorinterfacetypedetail type detail cit 
VARSIG45	javatyp type target 
VARSIG44	javasymbolnam symbol 
VARSIG43	list enumconstantdeclar constant declar constant 
VARSIG42	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG49	javatyp type target 
VARSIG48	javatyp type 
VARSIG47	compilationunit compil unit compilationunit compil unit 
VARSIG46	javatyp type current 
MTHSIG10	getdeclaredmethod declar method 
VARIABLES	compilationunit compil unit typedeclar type declar declaredbymetadataid declar metadata typenam type metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid importdeclar declar candid enumconst constant candid candid bodydeclar bodi declar member typecont type content declaredbymetadataid declar metadata typenam type metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid typedeclar type declar arg arg compilationunit compil unit cit parent importtyp type current current candid constant candid candid candid candid importdeclar declar importdeclar declar importdeclar declar cit compilationunitservic compil unit servic constant target current compilationunit compil unit target current compilationunit compil unit filemanag file manag cit fileidentifi file identifi declaredbymetadataid declar metadata physicaltypecategori physic type categori declaredconstructor declar constructor declaredfield declar field declaredmethod declar method declaredinnertyp declar type declarediniti declar initi superclass extendstyp type implementstyp type registeredimport regist import annot enumconst constant compilationunit compil unit clazz enumclazz clazz import compilationunitpackag compil unit typeparameternam type paramet name innertyp type unsupport messag prefix modifi compilationunitservic compil unit servic qualifi simplenam simpl fullnam full typepackag type type newimport newnam arg extendslist list javatyp type superclass superclassid superclass superptm ptm constant implementslist list javatyp type annotationslist annot list member castmemb member fieldmetadata field metadata castmemb member castmemb member constructormetadata constructor metadata castmemb member innertyp type innertypemetadataid type metadata classorinterfacetypedetail type detail referencetyp refer type visitor typetoimportexpr type expr javaparsermodifi parser modifi typedeclar type declar classorinterfacedeclar declar implementslist list isinterfac pnameexpr expr tempnam temp presolvednam resolv extendslist list compilationunitservic compil unit servic annot enumdeclar declar constant referencetyp refer type import import importpackag importtyp type compilationunit compil unit type newentri entri nameexpr expr resolvednam resolv nameexpr expr resolvednam resolv newcont content tsc 
VARSIG41	classorinterfacetypedetail type detail cit 
VARSIG40	importdeclar declar importdeclar declar 
