MTHSIG28	setfindmethod set find
VARSIG16	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG15	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG14	fieldmetadata field metadata field
VARSIG13	metadataidentificationstring metadata identification
MTHSIG17	getcountmethod count
MTHSIG18	getdelegatemethod delegate javasymbolname symbol methodname methoddelegatename delegate
MTHSIG15	addtransactionalannotation add transactional annotation list annotationmetadatabuilder annotation metadata builder annotations ispersistmethod persist
MTHSIG16	getclearmethod clear
MTHSIG13	tostring
MTHSIG14	addtransactionalannotation add transactional annotation list annotationmetadatabuilder annotation metadata builder annotations
MTHSIG11	getfindmethod find
MTHSIG12	getplural plural
MTHSIG19	getfindallmethod find
MTHSIG10	getentityname entity
VARIABLES	metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata parent crudannotationvalues crud annotation values plural identifierfield identifier field entityname entity isgaeenabled gae enabled javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification field annotations annotations ispersistmethod persist methodname methoddelegatename delegate count type entity manager type type crudannotationvalues crud annotation values entitymanagermethod entity manager entityname entity findmethod find identifierfield identifier field isgaeenabled gae enabled parent plural fieldsymbolname field symbol candidate annotations annotationbuilder annotation builder fieldname field fieldtype field type userfield user field listoffieldnames list field names listoffieldnamesasstringexpr list field names expr builder transactionalbuilder transactional builder methodname parametertypes parameter types parameternames parameter names usermethod user annotations bodybuilder body builder methodbuilder builder parametertypes parameter types usermethod user annotations bodybuilder body builder entitymanagermethod entity manager entitymanagerfieldname entity manager field returntype type methodbuilder builder methodname parametertypes parameter types parameternames parameter names returntype type usermethod user annotations bodybuilder body builder methodbuilder builder methodname parametertypes parameter types parameternames parameter names returntype type usermethod user annotations bodybuilder body builder methodbuilder builder methodname parametertypes parameter types parameternames parameter names returntype type usermethod user annotations bodybuilder body builder methodbuilder builder methodname parametertypes parameter types parameternames parameter names returntype type usermethod user annotations bodybuilder body builder methodbuilder builder methodname parametertypes parameter types returntype type usermethod user bodybuilder body builder params types type newmodifier modifier modifier methodbuilder builder idfieldname field methodname parametertype parameter type parameternames parameter names returntype type usermethod user annotations bodybuilder body builder methodbuilder builder
