VARSIG39	javatyp type javatyp type 
VARSIG6	javatyp type javatyp type 
VARSIG9	methodmetadata metadata 
VARSIG8	metadataidentificationstr metadata identif 
VARSIG3	annotationmetadata annot metadata annot 
VARSIG2	classorinterfacetypedetail type detail cid 
VARSIG5	metadataid metadata 
VARSIG4	javatyp type domaintyp domain type 
COMMENTS	implement link webmetadataservic web metadata servic retriev metadata web scaffold add on interest accessor interest field expos mutat accessor identifi version field interest accessor 
VARSIG19	findermetadatadetail finder metadata detail dynamicfindermethod dynam finder 
VARSIG1	metadataidentificationstr metadata identif 
VARSIG18	methodmetadata metadata 
VARSIG0	javatyp type type 
VARSIG17	metadataidentificationstr metadata identif 
VARSIG12	memberdetail member detail memberdetail member detail 
VARSIG11	javatyp type javatyp type 
VARSIG10	finder 
VARSIG16	memberdetail member detail formbackingtypedetail form back type detail 
VARSIG15	javatyp type formbackingtyp form back type 
VARSIG14	methodmetadata metadata 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG15	registerdepend regist depend upstreamdepend upstream depend downstreamdepend stream depend 
MTHSIG13	isenumtyp type javatyp type javatyp type 
MTHSIG14	isrooidentifi roo identifi javatyp type javatyp type memberdetail member detail memberdetail member detail 
MTHSIG11	getscaffoldeligiblefieldmetadata scaffold elig field metadata javatyp type javatyp type memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
MTHSIG12	isapplicationtyp applic type javatyp type javatyp type 
VARSIG43	downstreamdepend stream depend 
VARSIG42	upstreamdepend upstream depend 
MTHSIG10	getrelatedapplicationtypemetadata applic type metadata javatyp type basetyp base type memberdetail member detail basetypedetail base type detail metadataidentificationstr metadata identif 
VARIABLES	type metadataidentificationstr metadata identif cid annot domaintyp domain type metadataid metadata javatyp type memberdetail member detail metadataidentificationstr metadata identif finder javatyp type memberdetail member detail metadataidentificationstr metadata identif formbackingtyp form back type formbackingtypedetail form back type detail metadataidentificationstr metadata identif dynamicfindermethod dynam finder javatyp type javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type javatyp type metadataidentificationstr metadata identif basetyp base type basetypedetail base type detail metadataidentificationstr metadata identif fieldtyp field type javatyp type memberdetail member detail metadataidentificationstr metadata identif javatyp type javatyp type javatyp type memberdetail member detail upstreamdepend upstream depend downstreamdepend stream depend result paramet layer posit logger max paramet sort fieldnam paramet sort order paramet layerservic layer servic memberdetailsscann member detail scanner metadatadependencyregistri metadata depend registri metadataservic metadata servic persistencememberloc persist member locat typelocationservic type locat servic pathmap path map webscaffoldmetadatakei web scaffold metadata kei webscaffoldmetadata web scaffold metadata formbackingobject form back object formbackingobjectvalu form back object path pathstr path cidpath cid path path domaintypemid domain type mid persistencedetail persist detail addit identifieraccessor identifi accessor versionaccessor version accessor date javatypepersistencemetadatadetail type persist metadata detail field returntyp type annot patternsymbol pattern symbol stylesymbol style symbol datetimeformat time format dependenttyp depend type type field typememberdetail type member detail javatypedetail type detail logicalpath logic path findermetadatakei finder metadata kei findermetadata finder metadata findermetadatadetail finder metadata detail parameternam paramet name parametertyp paramet type field fieldnam field field fieldmd field detail findermetadatadetailswocountmethod finder metadata detail count method idaccessor accessor idfield field idtyp type entityparamet entiti paramet idparamet paramet versionaccessor version accessor persistmethod persist removemethod remov mergemethod merg findallmethod find findallsortedmethod find sort findmethod find countmethod count findentriesmethod find entri findentriessortedmethod find entri sort dynamicfindernam dynam finder name cid javatypedetail type detail logicalpath logic path pluralmetadatakei plural metadata kei pluralmetadata plural metadata plural specialtyp special type fieldtypedetail field type detail identifieraccessor identifi accessor versionaccessor version accessor field method field fieldnam field javatypedetail type detail 
VARSIG41	memberdetail member detail memberdetail member detail 
VARSIG40	javatyp type javatyp type 
