MTHSIG28	setfindmethod set find 
VARSIG1	javatyp type aspectnam aspect 
VARSIG18	javasymbolnam symbol methodnam 
VARSIG0	metadataidentificationstr metadata identif 
VARSIG17	ispersistmethod persist 
VARSIG12	metadataidentificationstr metadata identif 
VARSIG11	metadataidentificationstr metadata identif 
VARSIG10	logicalpath logic path path 
VARSIG16	list annotationmetadatabuild annot metadata builder annot 
VARSIG15	list annotationmetadatabuild annot metadata builder annot 
VARSIG14	fieldmetadata field metadata field 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG17	getcountmethod count 
MTHSIG18	getdelegatemethod deleg javasymbolnam symbol methodnam methoddelegatenam deleg 
MTHSIG15	addtransactionalannot add transact annot list annotationmetadatabuild annot metadata builder annot ispersistmethod persist 
MTHSIG16	getclearmethod clear 
MTHSIG13	tostr 
MTHSIG14	addtransactionalannot add transact annot list annotationmetadatabuild annot metadata builder annot 
MTHSIG11	getfindmethod find 
MTHSIG12	getplur plural 
MTHSIG19	getfindallmethod find 
MTHSIG10	getentitynam entiti 
VARIABLES	metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata parent crudannotationvalu crud annot valu plural identifierfield identifi field entitynam entiti isgaeen gae enabl javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif field annot annot ispersistmethod persist methodnam methoddelegatenam deleg count type entiti manag type type crudannotationvalu crud annot valu entitymanagermethod entiti manag entitynam entiti findmethod find identifierfield identifi field isgaeen gae enabl parent plural fieldsymbolnam field symbol candid annot annotationbuild annot builder fieldnam field fieldtyp field type userfield user field listoffieldnam list field name listoffieldnamesasstringexpr list field name expr builder transactionalbuild transact builder methodnam parametertyp paramet type parameternam paramet name usermethod user annot bodybuild bodi builder methodbuild builder parametertyp paramet type usermethod user annot bodybuild bodi builder entitymanagermethod entiti manag entitymanagerfieldnam entiti manag field returntyp type methodbuild builder methodnam parametertyp paramet type parameternam paramet name returntyp type usermethod user annot bodybuild bodi builder methodbuild builder methodnam parametertyp paramet type parameternam paramet name returntyp type usermethod user annot bodybuild bodi builder methodbuild builder methodnam parametertyp paramet type parameternam paramet name returntyp type usermethod user annot bodybuild bodi builder methodbuild builder methodnam parametertyp paramet type parameternam paramet name returntyp type usermethod user annot bodybuild bodi builder methodbuild builder methodnam parametertyp paramet type returntyp type usermethod user bodybuild bodi builder param type type newmodifi modifi modifi methodbuild builder idfieldnam field methodnam parametertyp paramet type parameternam paramet name returntyp type usermethod user annot bodybuild bodi builder methodbuild builder 
