MTHSIG24	xmlutil xml util 
MTHSIG18	readxml read xml inputstream input stream inputstream input stream 
MTHSIG15	gettextcont text content path element parentel parent element 
MTHSIG16	gettextcont text content path element parentel parent element valueifnul 
MTHSIG13	getdocumentbuild document builder 
MTHSIG14	getrootel root element clazz xmlfilepath xml file path 
MTHSIG11	findrequiredel find requir element xpathexpress path express element root 
MTHSIG12	getconfigur configur clazz 
MTHSIG19	removetextnod remov text node node node 
VARSIG45	node node 
VARSIG44	except 
VARSIG43	inputstream input stream inputstream input stream 
VARSIG42	transformerexcept transform except 
VARSIG49	saxexcept sax except 
VARSIG48	parserconfigurationexcept parser configur except 
VARSIG47	ioexcept except 
VARSIG46	xml 
MTHSIG10	findnod find node xpathexpress path express node root 
VARIABLES	element node node node node propos document tagnam tag text outputstream output stream cbuf len str len xpathexpress path express root xpathexpress path express element xpathexpress path express parent root xpathexpress path express root xpathexpress path express root clazz clazz xmlfilepath xml file path path parentel parent element path parentel parent element valueifnul node inputstream input stream node xml outputstream output stream document nsme lse outputstream output stream document transform outputstream output stream document compil express cach factori transform factori xpath transform element writer orig filter lengthdiff length diff element node expr attr expr node node expr element inputstream input stream element writer domimplement dom implement domimplementationl dom implement registri lsserial serial domconfigur dom configur lsoutput output streamresult stream result 
VARSIG41	node node 
VARSIG40	valueifnul 
