VARSIG39	gwttype gwt type type 
MTHSIG12	addrefer add refer templatedatadictionari templat data dictionari datadictionari data dictionari gwttype gwt type type 
VARSIG45	templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG44	importdeclar declar 
VARSIG43	templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG42	entitymetadata entiti metadata entitymetadata entiti metadata 
VARSIG49	javatyp type type 
VARSIG48	templatedatadictionari templat data dictionari datadictionari data dictionari 
VARSIG47	javatyp type type 
VARSIG46	set importset set 
MTHSIG10	addrefer add refer templatedatadictionari templat data dictionari datadictionari data dictionari gwttype gwt type type map gwttype gwt type javatyp type mirrortypemap mirror type map 
VARIABLES	governortypedetail governor type detail clientsidetypemap client side type map gwttype gwt type proxyproperti proxi properti type templatenam templat datadictionari data dictionari datadictionari data dictionari templatefil templat file templatetyp templat type type type refer datadictionari data dictionari simplenam simpl gwttype gwt type projectmetadata project metadata governortypedetail governor type detail memberholdingtypedetail member hold type detail type governortypedetail governor type detail mirrortypemap mirror type map clientsidetypemap client side type map entitymetadata entiti metadata refer properti datadictionari data dictionari type mirrortypemap mirror type map desttyp dest type datadictionari data dictionari type governortypedetail governor type detail entitymetadata entiti metadata datadictionari data dictionari importdeclar declar datadictionari data dictionari importset set type datadictionari data dictionari type javatyp type physicaltypemetadataprovid physic type metadata provid filemanag file manag metadataservic metadata servic memberdetailsscann member detail scanner gwttypeservic gwt type servic governortypenam governor type governortypepath governor type path entitymetadata entiti metadata projectmetadata project metadata mirrortypemap mirror type map templatetypedetailsmap templat type detail map xmltemplat xml templat datadictionari data dictionari content xmlmap xml map typedetail type detail datadictionari data dictionari collectiontypeimpl collect type impl collectiontyp collect type boundcollectiontyp bound collect type collectioneditortyp collect editor type content templatetypedetail templat type detail datadictionari data dictionari templateload templat loader templat templatecont templat content templateload templat loader templat templateid templat projectmetadata project metadata datadictionari data dictionari locat antpath ant path fullpath full path simplenam simpl entiti entiti entiti entiti entiti entiti locat datadictionari data dictionari antpath ant path fullpath full path simplenam simpl datadictionari data dictionari locat antpath ant path fullpath full path simplenam simpl entiti datadictionari data dictionari locat antpath ant path fullpath full path simplenam simpl datadictionari data dictionari locat antpath ant path fullpath full path simplenam simpl entiti projectmetadata project metadata javatyp type datadictionari data dictionari governortypenam governor type mirrortypemap mirror type map governortypepath governor type path memberholdingtypedetail member hold type detail entitymetadata entiti metadata gwtclienttypemap gwt client type map requesttyp request type returntyp type alternativeentitymetadata altern entiti metadata standardaccessor standard accessor clientsidetyp client side type projectmetadata project metadata proxytyp proxi type javatyp type datadictionari data dictionari proxyfield proxi field primaryprop primari prop secondaryprop secondari prop dateprop prop importset set propertiessect properti editablesect edit proptypenam prop type versionfield version field idfield field versionpropertynam version properti idpropertynam properti 
VARSIG41	classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG40	 
