MTHSIG28	setup 
COMMENTS	implement link gwtoper gwt oper build entiti entiti manag requestcontext request context note don gener entir roogwtrequest roo gwt request annot invok metadata provid take gener remain code declar servicenam servic annot analog base addon work ad trigger annot let metadata provid metadata provid correctli respond project entiti entiti creat gwt request requir destinationpackag destin creat request requir trigger gwtrequestmetadataprovid gwt request metadata provid finish gener code build entiti entiti unmanag requestcontext request context ad custom method requestcontext request context manag roo entiti entiti creat gwt request requir destinationpackag destin creat request requir file targetfilenam target filenam delet gwtrequestmetadataprovid gwt request metadata provid doesn exclud method activ add requir crud method instal web piec instal add gwt natur builder name maven plugin add outputdirectori output directori build element pom add properti add pom repositori add depend updat web xml updat gwt maven plugin set pom pom output directori output directori set read pom creat updat pom updat pom updat plugin pom gwt detail load pom add gwt buildcommand build command add gwt projectnatur read templat insert user user output file user updat gaehelp gae helper type ensur gwt maven plugin gae enabl disabl environ updat appengin sdk denot gae type add appengin api sdk depend pom xml file copi miss file gae chang enabl 
VARSIG19	classorinterfacetypedetail type detail entiti 
VARSIG18	classorinterfacetypedetail type detail entiti 
VARSIG17	ioexcept except 
VARSIG12	classorinterfacetypedetail type detail proxi 
VARSIG11	javapackag destinationpackag destin 
VARSIG10	classorinterfacetypedetail type detail entiti 
VARSIG16	url url 
VARSIG15	targetdirectori target directori 
VARSIG14	sourceantpath sourc ant path 
VARSIG13	annotationmetadatabuild annot metadata builder existingannot exist annot 
MTHSIG17	isscaffoldavail scaffold 
MTHSIG18	processtempl process templat input segmentpackag segment 
MTHSIG15	isgwtinstallationposs gwt instal 
MTHSIG16	isinstalledinmodul instal modul modulenam modul 
MTHSIG13	getroogwtrequestannot roo gwt request annot classorinterfacetypedetail type detail entiti 
MTHSIG14	getroogwtunmanagedrequestannot roo gwt unmanag request annot classorinterfacetypedetail type detail entiti 
MTHSIG11	getnam 
MTHSIG12	getpompath pom path 
MTHSIG19	proxyal proxi javapackag proxypackag proxi 
MTHSIG10	getgaehookup gae hookup 
VARIABLES	context sourcepackag sourc path gwtpath gwt path entiti destinationpackag destin entiti destinationpackag destin entiti destinationpackag destin entiti destinationpackag destin proxi existingannot exist annot sourceantpath sourc ant path targetdirectori target directori url entiti entiti modulenam modul buildplugin build plugin input segmentpackag segment proxypackag proxi entiti proxyandrequestpackag proxi request proxyandrequestpackag proxi request type proxypackag proxi type xpath webxmlroot web xml root toremov remov proxypackag proxi entiti requestpackag request type proxypackag proxi requestpackag request proxi proxypackag proxi requestpackag request type proxyorrequest proxi request isgaeen gae enabl pluginel plugin element configur dependencyel depend element configur isgaeen gae enabl properti element sourceantpath sourc ant path targetdirectori target directori segmentpackag segment overwrit url configur repositoryel repositori element repositoryel repositori element gwt build command gwt project natur maven plugin output directori filemanag file manag gwttemplateservic gwt templat servic gwttypeservic gwt type servic metadataservic metadata servic persistencememberloc persist member locat projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic webmvcoper web mvc oper wasgaeen gae enabl context gwtconfig gwt config moduleroot modul root toplevelpackag top level relativepackag rel sourceantpath sourc ant path targetdirectori target directori existingproxi exist proxi proxytyp proxi type focusedmodul focus modul proxylogicalpath proxi logic path cidbuild cid builder attributevalu attribut valu stringattributevalu attribut locat locatorattributevalu locat attribut readonlyvalu read valu versionfield version field idfield field readonlyattribut read attribut requesttyp request type focusedsrcmainjava focus src requestbuild request builder managedrequest manag request unmanagedrequesttyp unmanag request type focusedsrcmainjava focus src unmanagedrequestbuild unmanag request builder annotationmetadata annot metadata booleanattributevalu attribut cidbuild cid builder annotationmetadatabuild annot metadata builder path uri filenam file targetfilenam target filenam input exist builder entityattributevalu entiti attribut gwtrequestattributevalu gwt request attribut valu entityattributevalu entiti attribut gwtrequestattributevalu gwt request attribut valu pom toplevelpackag top level entiti request entiti proxi request toppackagenam top gwtconfig gwt config gwtalreadysetup gwt setup sourceantpath sourc ant path targetdirectori target directori cidbuild cid builder annotationmetadata annot metadata annotationmetadatabuild annot metadata builder annotationmetadata annot metadata annotationmetadatabuild annot metadata builder configur pom document root outputdirectoryel output directori element buildel build element plugin xpathexpress path express pluginel plugin element depend gwtdepend gwt depend xpathexpress path express propertyel properti element pom document root additionalbuildcommandsel addit build command element gwtbuildcommandel gwt build command element nameel element additionalprojectnaturesel addit project natur element gwtprojectnatureel gwt project natur element gwtprojectnatureel gwt project natur element path url filenam file targetfilenam target filenam inputstream input stream outputstream output stream input isgaeen gae enabl hasgaestatechang gae chang rootpath root path file configur gaedepend gae depend sourceantpath sourc ant path segmentpackag segment targetdirectori target directori repositori gwtrepositori gwt repositori gwtpluginrepositori gwt plugin repositori targetdirectori target directori webxmlpath web xmlpath webxml web xml root displaynam displai webresourcecollect web resourc collect rolenam role name userdataconstraint user data constraint filter filtermap filter map securityconstraint secur constraint 
VARSIG39	javapackag requestpackag request 
VARSIG34	javapackag proxypackag proxi 
VARSIG33	element toremov remov 
VARSIG32	element webxmlroot web xml root 
VARSIG31	xpath 
VARSIG38	javapackag proxypackag proxi 
VARSIG37	javatyp type type 
PACKAGE	springframework roo addon gwt 
VARSIG36	javapackag requestpackag request 
VARSIG35	classorinterfacetypedetail type detail entiti 
VARSIG30	javatyp type type 
CLASSES	gwtoperationsimpl gwt oper impl 
VARSIG29	javapackag proxypackag proxi 
VARSIG28	javatyp type type 
VARSIG23	segmentpackag segment 
VARSIG22	input 
VARSIG21	plugin buildplugin build plugin 
VARSIG20	modulenam modul 
VARSIG27	javapackag proxyandrequestpackag proxi request 
VARSIG26	javapackag proxyandrequestpackag proxi request 
VARSIG25	classorinterfacetypedetail type detail entiti 
VARSIG24	javapackag proxypackag proxi 
VARSIG7	javapackag destinationpackag destin 
VARSIG6	classorinterfacetypedetail type detail entiti 
VARSIG9	javapackag destinationpackag destin 
VARSIG8	classorinterfacetypedetail type detail entiti 
VARSIG3	gwtpath gwt path gwtpath gwt path 
VARSIG2	gwtpath gwt path path 
VARSIG5	javapackag destinationpackag destin 
VARSIG4	classorinterfacetypedetail type detail entiti 
VARSIG1	javapackag sourcepackag sourc 
VARSIG0	componentcontext compon context context 
VARSIG56	overwrit 
VARSIG55	segmentpackag segment 
VARSIG54	targetdirectori target directori 
VARSIG53	sourceantpath sourc ant path 
VARSIG59	element configur 
VARSIG58	ioexcept except 
VARSIG57	url url 
VARSIG52	element element 
VARSIG51	element properti 
VARSIG50	isgaeen gae enabl 
VARSIG45	isgaeen gae enabl 
VARSIG44	classorinterfacetypedetail type detail proxyorrequest proxi request 
VARSIG43	javatyp type type 
VARSIG42	javapackag requestpackag request 
VARSIG49	element configur 
VARSIG48	element dependencyel depend element 
VARSIG47	element configur 
VARSIG46	element pluginel plugin element 
VARSIG41	javapackag proxypackag proxi 
VARSIG40	classorinterfacetypedetail type detail proxi 
