VARSIG39	clioption cli option key hostname host mandatory host hostname host
VARSIG60	clioption cli option key equals mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue generated implement equals hashcode hash code methods equals
VARSIG7	componentcontext component context context
VARSIG6	clioption cli option key mandatory vale property key
VARSIG9	schema
VARSIG8	table
VARSIG3	clioption cli option key permitreservedwords permit reserved mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue reserved roo permitreservedwords permit reserved
VARSIG2	clioption cli option key serializable mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue generated implement serializable serializable
VARSIG5	clioption cli option key key mandatory property key changed key
VARSIG4	clioption cli option key key mandatory property key removed key
COMMENTS	commands jpa add roo shell returns builder entity annotation newly created jpa entity table schema catalog identifierfield identifier field identifiercolumn identifier column identifiertype identifier type versionfield version field versioncolumn version column versiontype version type inheritancetype inheritance type mappedsuperclass mapped superclass persistenceunit persistence unit transactionmanager transaction manager entityname entity sequencename sequence activerecord active record generate active record crud methods entity builder attributes apply jpa entities active record attributes apply entities crud active record methods returns type annotation entity activerecord active record entity crud active record methods generated type can test reject attempts entity test clashes data demand roo happen user insists permitreservedwords permit reserved roo create entity entity annotations produce entity create entity identifier required
VARSIG19	persistenceunit persistence unit
VARSIG1	clioption cli option key optioncontext option context update project mandatory create javatype type
VARSIG18	mappedsuperclass mapped superclass
VARSIG0	componentcontext component context context
VARSIG17	inheritancetype inheritance type inheritancetype inheritance type
VARSIG12	identifiercolumn identifier column
VARSIG56	clioption cli option key versioncolumn version column mandatory jpa version field column entity versioncolumn version column
VARSIG11	identifierfield identifier field
VARSIG55	clioption cli option key versionfield version field mandatory jpa version field entity versionfield version field
VARSIG10	catalog
VARSIG54	clioption cli option key identifiertype identifier type mandatory optioncontext option context lang project unspecifieddefaultvalue unspecified lang specifieddefaultvalue lang data type jpa identifier field defaults lang javatype type identifiertype identifier type
VARSIG53	clioption cli option key identifiercolumn identifier column mandatory jpa identifier field column entity identifiercolumn identifier column
VARSIG16	javatype type versiontype version type
VARSIG15	versioncolumn version column
VARSIG59	clioption cli option key mappedsuperclass mapped superclass mandatory specifieddefaultvalue unspecifieddefaultvalue unspecified apply mappedsuperclass mapped superclass entity mappedsuperclass mapped superclass
VARSIG14	versionfield version field
VARSIG58	clioption cli option key inheritancetype inheritance type mandatory jpa inheritance apply base inheritancetype inheritance type inheritancetype inheritance type
VARSIG13	javatype type identifiertype identifier type
VARSIG57	clioption cli option key versiontype version type mandatory optioncontext option context lang project unspecifieddefaultvalue unspecified lang integer data type jpa version field defaults lang integer javatype type versiontype version type
VARSIG52	clioption cli option key identifierfield identifier field mandatory jpa identifier field entity identifierfield identifier field
VARSIG51	clioption cli option key catalog mandatory jpa table catalog entity catalog
VARSIG50	clioption cli option key schema mandatory jpa table schema entity schema
MTHSIG13	ispersistentclassavailable persistent
MTHSIG14	newpersistenceclassjpa persistence jpa javatype type javatype type superclass createabstract create testautomatically test automatically table schema catalog identifierfield identifier field identifiercolumn identifier column javatype type identifiertype identifier type versionfield version field versioncolumn version column javatype type versiontype version type inheritancetype inheritance type inheritancetype inheritance type mappedsuperclass mapped superclass equals serializable persistenceunit persistence unit transactionmanager transaction manager permitreservedwords permit reserved entityname entity sequencename sequence activerecord active record
MTHSIG11	isjdk orhigher jdk higher
MTHSIG12	isjpasetupavailable jpa setup
VARSIG45	clioption cli option key optioncontext option context update project mandatory entity create javatype type
VARSIG44	clioption cli option key persistenceunit persistence unit mandatory persistence unit persistence xml file persistenceunit persistence unit
VARSIG43	clioption cli option key transactionmanager transaction manager mandatory transaction manager transactionmanager transaction manager
VARSIG42	clioption cli option key password mandatory password password
VARSIG49	clioption cli option key table mandatory jpa table entity table
VARSIG48	clioption cli option key testautomatically test automatically mandatory specifieddefaultvalue unspecifieddefaultvalue unspecified create automatic integration tests entity testautomatically test automatically
VARSIG47	clioption cli option key mandatory specifieddefaultvalue unspecifieddefaultvalue unspecified generated marked createabstract create
VARSIG46	clioption cli option key mandatory unspecifieddefaultvalue unspecified lang object superclass defaults lang object javatype type superclass
MTHSIG10	installpersistence install persistence ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database applicationid application jndi hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit
VARIABLES	context serializable permitreservedwords permit reserved key key context table schema catalog identifierfield identifier field identifiercolumn identifier column identifiertype identifier type versionfield version field versioncolumn version column versiontype version type inheritancetype inheritance type mappedsuperclass mapped superclass persistenceunit persistence unit transactionmanager transaction manager entityname entity sequencename sequence activerecord active record activerecord active record ormprovider orm provider jdbcdatabase jdbc database applicationid application jndi hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit ormprovider orm provider jdbcdatabase jdbc database applicationid application jndi hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit superclass createabstract create testautomatically test automatically table schema catalog identifierfield identifier field identifiercolumn identifier column identifiertype identifier type versionfield version field versioncolumn version column versiontype version type inheritancetype inheritance type mappedsuperclass mapped superclass equals serializable persistenceunit persistence unit transactionmanager transaction manager permitreservedwords permit reserved entityname entity sequencename sequence activerecord active record logger roo equals builder roo bean builder roo serializable builder roo builder integrationtestoperations integration test operations jpaoperations jpa operations projectoperations project operations propfileoperations prop file operations staticfieldconverter field converter entityannotationbuilder entity annotation builder ver annotationbuilder annotation builder
VARSIG41	clioption cli option key username user mandatory username username user
VARSIG40	clioption cli option key databasename database mandatory database databasename database
