MTHSIG28	getmodifymethod modify
VARIABLES	javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata annotationvalues annotation values identifieraccessor identifier accessor findmethodadditions find additions findentriesmethodadditions find entries additions persistmethodadditions persist additions flushmethod flush locatedfields located fields identifiertype identifier type embeddedidholder embedded holder embeddedholders embedded holders entry embeddedholder embedded holder field embeddedholder embedded holder fieldinitializermethod field initializer entityneedingcollaborator entity needing collaborator embeddedholder embedded holder field entity entity field values suffix field decimalminannotation decimal min annotation decimalmaxannotation decimal max annotation suffix field digitsannotation digits annotation suffix embeddedholder embedded holder field fieldname field embeddedfieldname embedded field fieldname field field field collaboratingmetadata collaborating metadata field collaboratingmetadata collaborating metadata fieldcustomdatakeys field custom data entry field initializer mutatorname mutator isfieldofembeddabletype field embeddable type quantity findentriesmethodadditions find entries additions persistmethodadditions persist additions flushadditions flush additions field suffix fieldtype field type embeddedholder embedded holder field fieldname field annotationname annotation attributename attribute object symbol max symbol min symbol obj obj symbol type type datafieldname data field embeddedfieldinitializers embedded field initializers embeddedholders embedded holders embeddedidholder embedded holder entity fieldinitializers field initializers findmethod find identifieraccessor identifier accessor identifiertype identifier type modifymethod modify newtransiententitymethod entity randompersistententitymethod random persistent entity requireddataondemandcollaborators required data demand collaborators rndfieldname rnd field specificpersistententitymethod specific persistent entity field initializer initializers fields collaboratortype collaborator type collaboratingfieldname collaborating field fieldsymbolname field symbol candidate annotations embeddedfieldtype embedded field type parametertypes parameter types parameternames parameter names initializer fieldmutatormethodname field mutator bodybuilder body builder embeddedclassmethodname embedded fieldname field fieldtype field type precision scale maxvalue max bodybuilder body builder annotationbuilder annotation builder parametertypes parameter types listtype list type fieldname field candidate fieldname field fieldtype field type bodybuilder body builder minvalue min maxvalue max minvalue min maxvalue max fieldname field fieldtype field type integervalue integer fractionvalue fraction maxvalue max bodybuilder body builder methodname parametertypes parameter types bodybuilder body builder embeddedfieldtype embedded field type parameternames parameter names embeddedidmutator embedded mutator methodname parametertypes parameter types bodybuilder body builder embeddedidfieldtype embedded field type identifierfields identifier fields field fieldname field fieldtype field type initializer parameternames parameter names fieldnames field names embeddedidfield embedded field fieldtype field type fieldname field initializer fieldinitializer field initializer fieldcustomdatakeys field custom data calendarstring calendar offset maxlength max length sizeannotation size annotation maxvalue max minvalue min minlength min length columnvalues column values lengthvalue length nullablefield nullable field collaboratingfieldname collaborating field fieldmutatormethods field mutator methods parameternames parameter names parametertypes parameter types field mutatorname mutator initializer bodybuilder body builder fieldname field fieldtype field type suffix bodybuilder body builder isunique unique values sizeannotation size annotation maxvalue max lengthvalue length digitsannotation digits annotation decimalminannotation decimal min annotation decimalmaxannotation decimal max annotation values methodname parametertypes parameter types parameternames parameter names returntype type usermethod user bodybuilder body builder datafield data field fieldname field fieldtype field type bodybuilder body builder minannotation min annotation maxannotation max annotation minvalue min maxvalue max minvalue min maxvalue max fieldname field candidate fieldbuilder field builder arraystr array str typestr type str methodname parametertype parameter type parameternames parameter names returntype type usermethod user bodybuilder body builder methodbuilder builder methodname parametertype parameter type parameternames parameter names usermethod user bodybuilder body builder mutatorname mutator methodbuilder builder methodname usermethod user bodybuilder body builder methodbuilder builder methodname parametertype parameter type parameternames parameter names usermethod user bodybuilder body builder methodbuilder builder builder
VARSIG39	fieldmetadata field metadata field
VARSIG34	suffix
VARSIG33	annotationmetadata annotation metadata decimalmaxannotation decimal max annotation
VARSIG32	annotationmetadata annotation metadata decimalminannotation decimal min annotation
VARSIG31	fieldmetadata field metadata field
VARSIG38	embeddedholder embedded holder embeddedholder embedded holder
VARSIG37	suffix
PACKAGE	springframework roo addon dod
VARSIG36	annotationmetadata annotation metadata digitsannotation digits annotation
VARSIG35	fieldmetadata field metadata field
VARSIG30	suffix
CLASSES	dataondemandmetadata data demand metadata
VARSIG29	map object values
VARSIG28	fieldmetadata field metadata field
VARSIG23	javatype type entityneedingcollaborator entity needing collaborator
VARSIG22	methodmetadatabuilder metadata builder fieldinitializermethod field initializer
VARSIG21	embeddedholder embedded holder embeddedholder embedded holder
VARSIG20	fieldmetadata field metadata field
VARSIG27	javatype type entity
VARSIG26	javatype type entity
VARSIG25	fieldmetadata field metadata field
VARSIG24	embeddedholder embedded holder embeddedholder embedded holder
VARSIG7	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG6	javatype type aspectname aspect
VARSIG9	methodmetadata metadata identifieraccessor identifier accessor
VARSIG8	dataondemandannotationvalues data demand annotation values annotationvalues annotation values
VARSIG3	metadataidentificationstring metadata identification
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	identifier
VARSIG4	metadataidentificationstring metadata identification
VARSIG1	logicalpath logical path path
VARSIG0	javatype type javatype type
VARSIG56	membertypeadditions member type additions persistmethodadditions persist additions
VARSIG55	membertypeadditions member type additions findentriesmethodadditions find entries additions
VARSIG54	quantity
VARSIG53	isfieldofembeddabletype field embeddable type
VARSIG59	suffix
VARSIG58	fieldmetadata field metadata field
VARSIG57	membertypeadditions member type additions flushadditions flush additions
MTHSIG40	tostring
MTHSIG41	validatenumericannotationattribute validate numeric annotation attribute fieldname field annotationname annotation attributename attribute object object
VARSIG52	javasymbolname symbol mutatorname mutator
VARSIG51	initializer
VARSIG50	fieldmetadata field metadata field
VARSIG45	dataondemandmetadata data demand metadata collaboratingmetadata collaborating metadata
VARSIG44	fieldmetadata field metadata field
VARSIG43	fieldmetadata field metadata field
VARSIG42	javasymbolname symbol fieldname field
VARSIG49	map entry fieldmetadata field metadata entry
VARSIG48	set fieldcustomdatakeys field custom data
VARSIG47	dataondemandmetadata data demand metadata collaboratingmetadata collaborating metadata
VARSIG46	fieldmetadata field metadata field
VARSIG41	javasymbolname symbol embeddedfieldname embedded field
VARSIG40	javasymbolname symbol fieldname field
