MTHSIG28	getenclosingtypenam enclos type 
VARSIG16	annotationmetadata annot metadata annot 
VARSIG15	variabledeclar variabl declar 
VARSIG14	bodydeclar bodi declar member 
VARSIG13	bodydeclar bodi declar bodydeclar bodi declar 
MTHSIG17	addenumconst add constant javasymbolnam symbol 
MTHSIG18	addenumconst add constant compilationunitservic compil unit servic compilationunitservic compil unit servic list enumconstantdeclar constant declar constant javasymbolnam symbol permitflush permit flush 
MTHSIG15	removetypeannot remov type annot javatyp type annotationtyp annot type 
MTHSIG16	addfield add field fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG13	addtypeannot add type annot annotationmetadata annot metadata annot 
MTHSIG14	updatetypeannot updat type annot annotationmetadata annot metadata annot set javasymbolnam symbol attributestodeleteifpres attribut delet 
MTHSIG11	getimplementstyp type 
MTHSIG12	getannot annot 
MTHSIG19	removefield remov field javasymbolnam symbol fieldnam field 
VARSIG44	ioexcept except ioe 
VARSIG43	fileidentifi file identifi 
VARSIG42	classorinterfacetypedetail type detail cit 
MTHSIG10	getextendstyp type 
VARIABLES	compilationunit compil unit typedeclar type declar filemanag file manag declaredbymetadataid declar metadata fileidentifi file identifi typenam type metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid candid enumconst constant candid candid bodydeclar bodi declar member annot annot attributestodeleteifpres attribut delet incomingattributenam incom attribut existingattributenam exist attribut incomingattributenam incom attribut annotationtyp annot type fieldmetadata field metadata compilationunitservic compil unit servic constant permitflush permit flush fieldnam field methodmetadata metadata cit current current candid constant candid candid candid filemanag file manag cit fileidentifi file identifi ioe filemanag file manag fileidentifi file identifi declaredbymetadataid declar metadata physicaltypecategori physic type categori declaredconstructor declar constructor declaredfield declar field declaredmethod declar method superclass extendstyp type implementstyp type annot enumconst constant clazz enumclazz clazz compilationunit compil unit import compilationunitpackag compil unit typeparameternam type paramet name innertyp type unsupport messag prefix modifi compilationunitservic compil unit servic newnam arg extendslist list javatyp type superclass superclassid superclass superptm ptm constant implementslist list javatyp type annotationslist annot list member castmemb member castmemb member castmemb member annot writechangestodisk write disk replacementattributevalu replac attribut valu exist incomingvalu incom replac existingvalu exist incomingvalu incom existingvalu exist replac annot member constant newentri entri member member compilationunit compil unit javaparsermodifi parser modifi typedeclar type declar implementslist list nameexpr expr resolvednam resolv pnameexpr expr presolvednam resolv isinterfac classorinterfacedeclar declar extendslist list nameexpr expr resolvednam resolv pnameexpr expr presolvednam resolv type compilationunitservic compil unit servic annot enumdeclar declar constant newcont content tsc compilationunitinputstream compil unit input stream mutablefil mutabl file 
VARSIG41	filemanag file manag filemanag file manag 
VARSIG40	methodmetadata metadata candid 
